community_size,community_size_log,semantic_change,ideology_semantic_change,male_ratio,friends_count_mean,friends_count_mean_log,friends_count_median,friends_count_median_log,follower_count_mean,follower_count_mean_log,follower_count_median,follower_count_median_log,tweet_count_mean,tweet_count_mean_log,tweet_count_median,tweet_count_median_log,tweet_count_rank,gender,age,is_org,betweenness,closeness,cluster_id,category,cluster_group,cluster_name,topic_words,top_follows
574,6.35,0.1011,0.0589,0.33,699.77,6.55,329.5,5.80,716.05,6.57,130,4.87,3237.30,8.08,508.5,6.23,59,0.57,2.16,0.38,0.90,0.30,41,entertainment,lifestyle,Interior Design,"design,interior,home,furnitur,decor,architectur,furnish,renov,residenti,servic,art,cabinet,product,estat,apart","ajc,hgtv,AtlantaMagazine,ArchDigest,cl_atlanta,dwell,InteriorDesign,CityofAtlanta,ATL_Events,wsbtv,HouseBeautiful,designmilk,BarackObama,ELLEDECOR,TheEllenShow,joannagaines,wallpapermag,cnnbrk,GAFollowers,ATLINtownPaper,chipgaines,DiscoverAtlanta,nytimes,DIYNetwork,FOX5Atlanta"
538,6.29,0.1500,0.1215,0.80,133.25,4.89,87,4.47,25.06,3.22,5,1.61,189.14,5.24,4,1.39,1,0.20,1.40,0.06,0.76,0.25,42,sports,Football,nfl,"nfl,footbal,sport,nba,rap,hip-hop,ncaa,music,basketbal,wwe,money,laid,i'm,fun,whodietreetop","ajc,wsbtv,DangeRussWilson,paugasol,GAFollowers,cl_atlanta,AtlantaFalcons,RealMikeWilbon,obj,StephenCurry30,DezBryant,mcuban,tarajiphenson,AaronRodgers12,AdamSchefter,CJ1two,ATL_Events,Tip,RGIII,FOX5Atlanta,PeteCarroll,fatbellybella,KasimReed,RobGronkowski,ATLHawks"
379,5.94,0.1089,0.0676,0.64,667.31,6.50,437,6.08,1383.16,7.23,268,5.59,1872.25,7.53,491,6.20,54,0.29,2.52,0.37,0.99,0.33,43,atlanta,Real Estate,retail,"estat,real,commerci,#cre,firm,retail,cre,invest,atlanta,tenant,broker,pr,develop,busi,@atlbizchron","AtlBizChron,ajc,CREatlbiz,AtlantaBeltLine,CityofAtlanta,mariasaporta,ajcrealestate,MidtownATL,AtlantaMagazine,MarkToro,cl_atlanta,ATLINtownPaper,atlchamber,CurbedAtlanta,ULI_Atlanta,SaportaReport,AtlBizAmy,InvestAtlanta,KasimReed,BisnowAtlanta,WSJ,CushWakeATL,WhatNowAtlanta,twilbert,downtownatlanta"
469,6.15,0.1403,0.0916,0.44,177.64,5.18,95,4.55,66.13,4.19,9,2.20,201.35,5.31,12,2.48,11,0.45,2.04,0.38,0.78,0.27,44,society,social justice,youth,"communiti,provid,breaza,organ,youth,nonprofit,creat,women,labour,foundat,god,servic,group,famili,educ","ajc,UNESCO,amnestyusa,RedCross,SavetheChildren,ICRC,wsbtv,Habitat_org,WorldVision,PeaceCorps,CARE,AtlantaFalcons,GAFollowers,SamaritansPurse,cl_atlanta,ATL_Events,ATLHawks,ONECampaign,CityofAtlanta,FOX5Atlanta,MSF_USA,NASA,AtlantaMagazine,KasimReed,BarackObama"
351,5.86,0.1343,0.0685,0.52,125.85,4.84,92,4.52,27.54,3.32,5,1.61,122.10,4.80,5,1.61,2,0.39,1.95,0.20,0.71,0.26,45,society,politics,Elections,"polit,news,manag,agenc,#election2016,american,govern,gov,trump,financ,busi,workday,world,america,i'm","ajc,wsbtv,GAFollowers,AtlantaFalcons,cl_atlanta,NASA,Interior,BBCBreaking,ATL_Events,maddow,StationCDRKelly,ABC,DeptofDefense,BBCWorld,washingtonpost,HuffPost,WIRED,FoxNews,paulkrugman,CityofAtlanta,SpeakerRyan,ATLHawks,JoeNBC,RedCross,HarvardHealth"
255,5.54,0.1478,0.1150,0.49,503.77,6.22,181,5.20,1351.51,7.21,52,3.95,2974.70,8.00,118,4.77,23,0.47,1.90,0.19,0.84,0.29,46,entertainment,arts,Photography,"photograph,photographi,wed,base,art,photo,portrait,design,camera,commerci,graphic,atlanta,time,creativ,rug","Photoshop,Lightroom,ajc,500px,wsbtv,cl_atlanta,ATL_Events,NatGeoPhotos,DigitalCameraW,BarackObama,GAFollowers,NatGeo,MuseumModernArt,AtlantaMagazine,BHPhotoVideo,bernabephoto,AtlantaFalcons,CityofAtlanta,TheEllenShow,metmuseum,petapixel,ScottKelby,nytimes,nytimesphoto,FOX5Atlanta"
239,5.48,0.1664,0.1587,0.34,118.03,4.77,78,4.36,49.37,3.90,6,1.79,368.48,5.91,5,1.61,2,0.53,1.34,0.13,0.72,0.26,47,entertainment,music,rap,"rap,watch,hip-hop,hobbi,fmoig,movi,music,riftganghustl,beast_queen,theeofficialce,sip,i'm,like,independ,love","ajc,wsbtv,AtlantaFalcons,GAFollowers,cl_atlanta,chrisbrown,pitbull,JLo,MissyElliott,LilTunechi,MacMiller,BrunoMars,KasimReed,chancetherapper,BigSean,ATL_Events,CalvinHarris,MariahCarey,aliciakeys,tarajiphenson,ciara,Tip,fatbellybella,ryancameron,1future"
234,5.46,0.1375,0.0909,0.43,151.30,5.02,91,4.51,81.17,4.40,8,2.08,239.97,5.48,11,2.40,9,0.59,1.49,0.12,0.80,0.25,48,entertainment,arts,design,"art,photographi,cultur,architectur,artist,print,ghrey,bai,cervic,nikon,fun,design,photograph,diy,news","ajc,wsbtv,FreakyTheory,DeviantArt,metmuseum,MuseumModernArt,planetepics,GAFollowers,Guggenheim,cl_atlanta,Tate,MeetAnimals,DesignMuseum,vangoghmuseum,AtlantaFalcons,ATL_Events,awkwardgoogle,RealTouchingPic,HomeAdore,ATLHawks,CreativeReview,architecturehub,chrissyteigen,ArchDigest,CityofAtlanta"
281,5.64,0.1703,0.1284,0.54,163.35,5.10,85,4.44,68.01,4.22,6,1.79,134.90,4.90,7,1.95,4,0.38,1.66,0.18,0.86,0.28,49,entertainment,TV,entertain,"entertain,rap,hip-hop,music,tv,axe,fun,cultur,love,ordain,mone,i'm,wwa,myle,entretenimiento","danielhowell,AmazingPhil,camerondallas,ajc,wsbtv,connorfranta,AtlantaFalcons,GAFollowers,cl_atlanta,jccaylen,KianLawley,EthanDolan,GraysonDolan,ATL_Events,VancityReynolds,ATLHawks,tarajiphenson,KasimReed,fatbellybella,FOX5Atlanta,Tip,chrisbrown,coldplay,rihanna,CityofAtlanta"
402,6.00,0.1464,0.1289,0.60,172.53,5.15,105,4.65,51.08,3.93,13,2.56,601.53,6.40,7.5,2.01,5,0.36,1.35,0.12,0.84,0.24,50,entertainment,TV,Events,"sport,music,rap,nfl,nba,hip-hop,entertain,tv,soul,colleg,celebr,footbal,game,fit,spect","ajc,wsbtv,justinbieber,ladygaga,GAFollowers,petewentz,halsey,rihanna,LuceroMexico,kanyewest,TheAJMendez,cl_atlanta,IGGYAZALEA,WWESheamus,AtlantaFalcons,KOlusola,MariaSharapova,WWEUniverse,WWE,wizkhalifa,tarajiphenson,camerondallas,JVCKJ,jccaylen,KianLawley"
209,5.34,0.1499,0.1297,0.58,180.30,5.19,55,4.01,44.43,3.79,8,2.08,249.49,5.52,12,2.48,11,0.37,1.64,0.28,0.95,0.27,51,entertainment,random,"Local Mix [Events, Self Help, Sports]","paint,erfanfakhim,___,ksi,vape,schooler,ilov,wifi,need,fmoig,follow,0.875,middl,caregiv,commerci","GwinnettSchools,AtlantaMagazine,ajc,cl_atlanta,UGAAthletics,AtlantaFalcons,FOX5Atlanta,ATL_Events,wsbtv,Braves,AndyStanley,11AliveNews,ClarkHoward,ATLHawks,GeorgiaFootball,FultonCoSchools,GAFollowers,M_Ryan02,BillGates,CityofAtlanta,BarackObama,Talkmaster,TheEllenShow,cnnbrk,jimmyfallon"
432,6.07,0.1407,0.1211,0.28,144.59,4.97,87,4.47,71.78,4.27,6,1.79,447.92,6.10,8,2.08,6,0.63,1.53,0.23,0.76,0.26,52,entertainment,lifestyle,hair,"fashion,beauti,hair,lifestyl,jewelri,cloth,beard,live,apparel,item,life,i'm,price,style,accessori","ajc,wsbtv,karliekloss,AtlantaFalcons,GAFollowers,chrissyteigen,GiGiHadid,laurDIY,Caradelevingne,AndreaRussett,ALISHAMARIE,cl_atlanta,victoriabeckham,BethanyMota,lifeaseva,rclbeauty101,ATL_Events,heidiklum,ATLHawks,marcjacobs,KendallJenner,Bourdain,CityofAtlanta,KasimReed,travel"
511,6.24,0.1136,0.0617,0.47,495.25,6.21,258,5.55,545.55,6.30,76,4.33,2432.71,7.80,222,5.40,29,0.47,2.10,0.29,0.89,0.29,53,entertainment,lifestyle,Travel,"travel,hotel,airport,trip,luxuri,experi,pilot,wanderlust,cruis,adventur,servic,compani,bed,airlin,food","ajc,TravelLeisure,travelchannel,NatGeoTravel,Delta,CNTraveler,lonelyplanet,SouthwestAir,TravelMagazine,wsbtv,AmericanAir,cl_atlanta,fodorstravel,united,JetBlue,ATL_Events,AtlantaMagazine,TripAdvisor,CityofAtlanta,usatodaytravel,BarackObama,nytimestravel,travel,GAFollowers,nytimes"
230,5.44,0.1425,0.1003,0.29,542.57,6.30,396,5.98,802.42,6.69,120,4.79,5400.95,8.59,1204,7.09,100,0.66,1.99,0.09,0.91,0.31,54,entertainment,news,Paparazzi,"love,mother,god,forgotten,#paparazzi,bivin,life,tale,beasley,edit,singer,imag,changer,new,priestess","MrRickyBell,617MikeBiv,KingBobbyBrown,RonDeVoe,JohnnyGill,RalphTresvant,BarackObama,NewEdition,tarajiphenson,KevinHart4real,Tip,Oprah,tylerperry,ajc,RickeySmiley,rihanna,itsgabrielleu,MichelleObama,Ludacris,IAmSteveHarvey,wsbtv,Diddy,TheEllenShow,Kandi,maryjblige"
205,5.32,0.1220,0.0802,0.65,434.21,6.07,302,5.71,893.71,6.80,145,4.98,10789.15,9.29,714,6.57,75,0.37,2.11,0.22,0.93,0.30,55,society,business,founder,"busi,founder,radiant,entrepreneur,owner,best,ceo,awad,gwaan,small,consult,help,hive,wine,passion","BarbaraCorcoran,robertherjavec,LoriGreiner,kevinolearytv,TheSharkDaymond,mcuban,ABCSharkTank,ajc,BarackObama,Oprah,realDonaldTrump,Entrepreneur,Forbes,BillGates,cnnbrk,wsbtv,CNN,nytimes,CityofAtlanta,elonmusk,FOX5Atlanta,TheEllenShow,WSJ,GAFollowers,marcuslemonis"
214,5.37,0.1533,0.1454,0.22,489.02,6.19,334,5.81,610.26,6.41,161,5.08,7913.72,8.98,2749.5,7.92,129,0.78,1.37,0.02,0.87,0.28,56,entertainment,lifestyle,belong,"cheekyman,scentsi,live,heart,princess,lover,#seo,guru,gorgeous,ny,belong,#brand,oh,healthier,wifey","snooki,DJPaulyD,VINNYGUADAGNINO,JENNIWOWW,KimKardashian,khloekardashian,kourtneykardash,Drake,TheEllenShow,rihanna,BarackObama,robkardashian,KylieJenner,SammiSweetheart,wizkhalifa,DeenaNicoleMTV,LilTunechi,ajc,justinbieber,chrisbrown,KevinHart4real,ladygaga,NICKIMINAJ,KendallJenner,MileyCyrus"
546,6.30,0.1118,0.0689,0.20,352.23,5.86,230,5.44,1087.49,6.99,93.5,4.54,2430.98,7.80,434,6.07,49,0.77,1.91,0.07,0.91,0.31,57,entertainment,lifestyle,lover,"lover,mom,love,wife,dog,travel,i'm,photograph,friend,thing,work,anim,daughter,fanat,mother","BertShowBert,TheBertShow,KrisKling,JeffDauler,ajc,JennHobby,TheEllenShow,MelissaCarter,CassandraYoung,Q997Atlanta,jimmyfallon,wsbtv,BarackObama,cnnbrk,DaviCrimmins,wendyradio,MootePoints,jtimberlake,Oprah,taylorswift13,AtlantaFalcons,CNN,Braves,chelseahandler,11AliveNews"
494,6.20,0.1178,0.0679,0.18,343.45,5.84,284,5.65,202.78,5.31,82,4.41,2429.12,7.80,561,6.33,63,0.80,1.62,0.03,0.86,0.29,58,entertainment,TV,mom,"lover,love,realiti,mom,life,tv,wife,friend,rodan,wine,dog,obsess,thing,girl,bravo","TheEllenShow,ajc,Andy,KyleRichards,Bethenny,LisaVanderpump,jimmyfallon,BravoTV,KimKardashian,jtimberlake,BarackObama,taylorswift13,chelseahandler,khloekardashian,tamrajudgeOC,NeNeLeakes,Kimzolciak,katyperry,Oprah,kourtneykardash,Teresa_Giudice,ladygaga,britneyspears,blakeshelton,BrandiGlanville"
217,5.38,0.1402,0.1243,0.36,517.00,6.25,362,5.89,474.57,6.16,100,4.61,5672.06,8.64,887,6.79,85,0.61,1.62,0.06,0.89,0.29,59,entertainment,lifestyle,love,"__'__________,______,mother,actor,love,unsigned_muzik,god,let,actress,pas,jr,jah,music,healthi,youtub","JussieSmollett,EmpireFOX,YazzTheGreatest,tarajiphenson,BarackObama,LadyGraceByers,GabbySidibe,leedanielsent,KevinHart4real,rihanna,terrencehoward,tylerperry,Oprah,Tip,Drake,TheEllenShow,chrisbrown,ajc,TaRhondajay,itsgabrielleu,EmpireWriters,aliciakeys,wsbtv,kerrywashington,KimKardashian"
422,6.05,0.1841,0.1643,0.33,587.05,6.38,452,6.11,1284.16,7.16,591.5,6.38,27019.75,10.20,13900.5,9.54,148,0.72,0.89,0.03,0.96,0.29,60,entertainment,social media,model ,"ig,bitch,instagram,atl,model,clark,gsu,bo,mommi,lash,snapchat,sdvr,________,missambergold,djjoebrown","ShannadeJenee,ShannonJessie,rihanna,theestallion,NICKIMINAJ,iamcardib,KimKardashian,AriTheDon,waydamin,Drake,ThegirlJT,1future,KylieJenner,youngthug,AaliyahJay,IAMSUMMERWALKER,sza,OkayKarlae,JheneAiko,kashdoll,dearra,GAFollowers,lilbaby4PF,chrisbrown,kanyewest"
616,6.42,0.1195,0.0575,0.56,317.84,5.76,113,4.73,590.97,6.38,33,3.50,1686.90,7.43,59.5,4.09,21,0.40,1.85,0.23,0.91,0.28,61,society,education,Georgia Tech,"@georgiatech,tech,student,engin,phd,comput,georgia,gt,@gtcomput,cs,ml,scienc,research,#machinelearn,learn","GeorgiaTech,ajc,CityofAtlanta,MidtownATL,wsbtv,AtlantaFalcons,ATL_Events,AtlantaMagazine,AtlantaBeltLine,cl_atlanta,GAFollowers,DiscoverAtlanta,FOX5Atlanta,ATLHawks,piedmontpark,11AliveNews,KasimReed,AtlBizChron,ATLINtownPaper,BarackObama,AtlanticStation,Braves,ATLUTD,fatbellybella,gtcomputing"
280,5.63,0.1278,0.1178,0.80,902.74,6.81,435,6.08,1536.56,7.34,79.5,4.38,5318.95,8.58,208,5.34,28,0.20,1.89,0.16,0.92,0.29,62,sports,Football,fan,"sport,footbal,nfl,fan,player,nba,@mbstadium,hof,falcon,@atlantafalcon,jboykin,sponsorship,beek,athlet,fantasi","Raiders,steelers,Seahawks,AtlantaFalcons,Broncos,Ravens,Giants,Patriots,dallascowboys,packers,Panthers,RamsNFL,HoustonTexans,Chiefs,Eagles,ajc,NFL,Saints,Buccaneers,49ers,Chargers,Browns,Vikings,Colts,nyjets"
243,5.49,0.1340,0.0905,0.24,580.31,6.36,298,5.70,560.00,6.33,113,4.73,2375.33,7.77,557,6.32,62,0.62,2.11,0.32,0.87,0.30,63,sports,Miscellaneous,Fitness,"fit,trainer,health,weight,workout,yoga,person,nutrit,loss,certifi,bodi,healthi,coach,wax,fat","WomensHealthMag,healthmagazine,ajc,Shape_Magazine,FitnessMagazine,SELFmagazine,MensHealthMag,DrOz,wsbtv,ATL_Events,TheEllenShow,AtlantaMagazine,cl_atlanta,POPSUGARFitness,EverydayHealth,WholeFoods,Oprah,JillianMichaels,cnnbrk,PreventionMag,runnersworld,EatThisNotThat,CNN,DailyHealthTips,11AliveNews"
406,6.01,0.1200,0.0611,0.54,265.56,5.58,150,5.01,365.60,5.90,41.5,3.73,2137.50,7.67,155.5,5.05,26,0.45,1.86,0.10,0.87,0.28,64,society,politics,explore,"explor,wife,que,up,ahmadiyya,digan,endors,smartlipo,georgia,nyse,opinion,outbreak,ensur,polici,sabe","GovKemp,BrianKempGA,ajc,KeishaBottoms,realDonaldTrump,BarackObama,CityofAtlanta,wsbtv,JoeBiden,FOX5Atlanta,WhiteHouse,POTUS,nytimes,CNN,cnnbrk,WSJ,staceyabrams,CDCgov,sendavidperdue,GAFollowers,HillaryClinton,SpeakerPelosi,TheEllenShow,11AliveNews,elonmusk"
498,6.21,0.1358,0.0656,0.52,285.97,5.66,101,4.62,244.13,5.50,18,2.89,3214.61,8.08,58,4.06,20,0.46,1.65,0.19,0.84,0.28,65,atlanta,University,Kennesaw State University,"ksu,kennesaw,locksmith,https://t.co/9hgrnwljso,state,construct,tape,rabbi,jewish,phonic,manag,i'm,compani,nurs,zta","kennesawstate,ajc,wsbtv,AtlantaFalcons,Braves,CobbSchools,ATLHawks,FOX5Atlanta,GAFollowers,11AliveNews,ATLUTD,KSUOwlNation,BarackObama,ATL_Events,RealCJ10,TheEllenShow,GeorgiaFootball,kennesawstfb,UGAAthletics,jimmyfallon,cl_atlanta,rihanna,espn,realDonaldTrump,cnnbrk"
532,6.28,0.1149,0.0590,0.80,615.87,6.42,398,5.99,1851.77,7.52,227,5.42,5499.38,8.61,1542.5,7.34,114,0.16,1.85,0.16,0.98,0.32,66,sports,Miscellaneous,Georgia Tech Sports,"tech,georgia,gt,jacket,offici,#togetherweswarm,yellow,@gtathlet,sport,footbal,@georgiatech,alum,#gojacket,husband,institut","GTAthletics,GeorgiaTechFB,ksugiuraajc,GeorgiaTech,CoachCollins,GTMBB,CoachPCJ,GTBaseball,GTFootball,ajc,Braves,GTJoshPastner,GTToddStansbury,AtlantaFalcons,WesDurham,Buzz_GT,BarstoolGT,espn,Kelly_Quinlan,SportsCenter,AndyDemetra,ATLUTD,RoddyJones20,ATLHawks,FTRSBlog"
340,5.83,0.1085,0.0843,0.63,460.30,6.13,336,5.82,4054.81,8.31,165.5,5.11,5252.47,8.57,1548.5,7.35,115,0.38,1.71,0.05,0.92,0.30,67,sports,Miscellaneous,AuburnU,"auburn,eagl,war,sport,#wareagl,@auburnu,alum,au,enthusiast,#wde,wde,fan,footbal,grad,tiger","AuburnFootball,AuburnTigers,CoachGusMalzahn,AuburnU,ajc,CameronNewton,coachbrucepearl,Braves,WarBlogle,AUFAMILY,DrunkAubie,AuburnMBB,BoJackson,CollegeGameDay,espn,SportsCenter,AubietheTiger01,realDonaldTrump,ESPNCFB,BarackObama,SECNetwork,AyeyoKEJO,wareaglereader,AGreeneIV,TreMason"
547,6.30,0.1150,0.0603,0.89,547.03,6.30,378,5.93,876.05,6.78,106,4.66,2684.80,7.90,539,6.29,61,0.13,2.13,0.09,0.88,0.30,68,sports,Miscellaneous,Golf,"golf,golfer,husband,tour,father,pga,sport,cours,tee,miss,club,dad,calendar,jone,fan","RickieFowler,McIlroyRory,TigerWoods,PGATOUR,bubbawatson,JordanSpieth,TheMasters,GolfChannel,DJohnsonPGA,ajc,JasonDufner,Fehertwit,GolfDigest,realDonaldTrump,IanJamesPoulter,SportsCenter,espn,Braves,PhilMickelson,Keegan_Bradley,JDayGolf,AtlantaFalcons,PGA_JohnDaly,JustinRose99,TheSergioGarcia"
232,5.45,0.1202,0.0869,0.22,573.54,6.35,468.5,6.15,474.25,6.16,254,5.54,2656.66,7.88,972,6.88,91,0.77,1.84,0.11,0.97,0.33,69,society,politics,PR,"pr,communic,relat,market,pro,public,profession,media,#pr,foodi,lover,comm,enthusiast,mom,social","ajc,PRSA,prsageorgia,PRNews,nytimes,mashable,PRWeekUS,APStylebook,AP,PRDaily,cnnbrk,BarackObama,wsbtv,CNN,WSJ,AtlantaMagazine,EdelmanPR,PRNewswire,PRDailyNews,adage,cl_atlanta,KetchumPR,AtlBizChron,NPR,HuffPost"
512,6.24,0.1092,0.0740,0.41,544.08,6.30,286,5.66,687.04,6.53,79,4.37,2537.59,7.84,278,5.63,32,0.53,2.11,0.27,0.86,0.31,70,entertainment,lifestyle,Cooking,"food,chef,cook,cater,culinari,recip,travel,gourmet,foodi,eat,meal,drink,mom,love,tast","foodandwine,bonappetit,ajc,FoodNetwork,bflay,epicurious,altonbrown,Bourdain,nytfood,GuyFieri,SAVEURMAG,GDeLaurentiis,cl_atlanta,BarackObama,wsbtv,AtlantaMagazine,WholeFoods,jamieoliver,Mariobatali,seriouseats,ATL_Events,TheEllenShow,jimmyfallon,tomcolicchio,rachaelray"
531,6.27,0.1122,0.0572,0.59,384.35,5.95,217,5.38,700.28,6.55,107,4.67,6178.92,8.73,809,6.70,81,0.39,1.63,0.11,0.89,0.29,71,atlanta,Things To Do in Atlanta,local sports,"own,de,____,manera,en,cbd,fluoresc,alum,all-tim,atlanta,¹__,kilt,gatech,trap,brett","ATLUTD,ajc,AtlantaFalcons,GAFollowers,ATLHawks,BarackObama,wsbtv,CityofAtlanta,ATL_Events,AtlantaMagazine,cl_atlanta,Braves,FOX5Atlanta,TheEllenShow,OldGeorgiaPics,GeorgiaPics,SportsCenter,AtlantaBeltLine,2DayInGAHistory,espn,CNN,11AliveNews,KeishaBottoms,cnnbrk,jimmyfallon"
373,5.92,0.1158,0.0597,0.71,490.82,6.20,292,5.68,800.33,6.69,81,4.39,3562.79,8.18,384,5.95,43,0.25,2.06,0.25,0.85,0.29,72,society,politics,Millitary,"veteran,secur,militari,feder,solut,busi,american,govern,oper,crisi,special,manag,dvid,saka,kaboom","DeptofDefense,DHSgov,ajc,StateDept,USArmy,WhiteHouse,FBI,BarackObama,USNavy,USMC,usairforce,CIA,realDonaldTrump,wsbtv,CNN,POTUS,nytimes,CityofAtlanta,TheJusticeDept,NASA,cnnbrk,WSJ,SecretService,washingtonpost,USNationalGuard"
782,6.66,0.1591,0.1094,0.87,1290.38,7.16,800.5,6.69,2678.80,7.89,244,5.50,10930.73,9.30,1910,7.55,121,0.16,1.28,0.03,0.98,0.27,73,entertainment,random,porn,"dm,content,male,porn,straight,adult,ig,video,onlyfan,freaki,creator,nsfw,atl,submiss,xxx","BlackSexVids,MissBNasty,TeannaTrump,SimoneRichards_,BrittneyJonesXX,TherealMsL0ndon,imGHETTOBARBIE,sexualbanditt,thekinkywave,imxxxdark,candacevon,theestallion,KrackinasssKeyy,LETHALLIPPSXXX,queensavagedoll,IamChASSity,RealKakeyy,therealpinkyxxx,theeministalli,notmyequal_xxx,dominicanraq,the_jada_fire,LUSCIOUSLOUIS,DestiniDaze,MochaXXXMenage"
457,6.12,0.1519,0.1575,0.59,232.31,5.45,73,4.29,107.67,4.68,9,2.20,454.90,6.12,11,2.40,9,0.34,1.79,0.26,0.76,0.27,74,sports,Miscellaneous,UGA Sports,"compani,roof,atlanta,provid,base,twitter,ga,custom,peopl,servic,fallout,larp,f_____,bornfam,aae","ajc,GeorgiaFootball,UGAAthletics,Braves,AtlantaFalcons,FOX5Atlanta,wsbtv,aaronmurray11,GAFollowers,RealCJ10,MarkRicht,11AliveNews,M_Ryan02,ATLHawks,FreddieFreeman5,GAFolIowers,TheEllenShow,jimmyfallon,BarackObama,SportsCenter,espn,cnnbrk,KevinHart4real,taylorswift13,katyperry"
1805,7.50,0.0965,0.0510,0.84,552.29,6.31,343,5.84,4114.69,8.32,115,4.74,6426.54,8.77,1446,7.28,111,0.14,1.03,0.05,0.84,0.27,75,entertainment,random,streamer,"game,gamer,twitch,streamer,stream,anim,video,play,affili,youtub,esport,player,psn,@twitch,discord","PlayStation,Twitch,NintendoAmerica,Xbox,IGN,RockstarGames,BarackObama,Ubisoft,elonmusk,Ninja,FortniteGame,Steam,MrBeastYT,discord,Pokemon,timthetatman,EA,drdisrespect,GameSpot,Bungie,PlayOverwatch,Nadeshot,pokimanelol,E3,YouTube"
210,5.35,0.1580,0.1380,0.73,357.41,5.88,275,5.62,476.42,6.17,222,5.40,10452.09,9.25,2841,7.95,132,0.39,1.46,0.08,0.85,0.28,76,entertainment,social media,yoadrienn,"love,____,yoadrienn,cortez,amaya,milit,des,way,pour,yet,sane,instagram,take,boss,decent","VineCreators,TwitterVideo,BarackObama,ajc,GAFollowers,Drake,KevinHart4real,rihanna,wizkhalifa,LilTunechi,KingJames,chrisbrown,TheEllenShow,JColeNC,1future,wsbtv,iamcardib,instagram,kanyewest,Wale,theestallion,Tip,lilduval,NBA,NICKIMINAJ"
635,6.45,0.1219,0.0637,0.82,1189.89,7.08,636,6.46,1559.29,7.35,373,5.92,3861.56,8.26,956,6.86,89,0.15,1.74,0.17,0.99,0.30,77,sports,Miscellaneous,Georgia High School Sports,"coach,school,high,footbal,athlet,qb,gpa,db,wr,hs,lb,rb,westlak,class,sport","RecruitGeorgia,ChadSimmons_,OfficialGHSA,Mansell247,High5Sports,247Sports,Rivals,GPBsports,WSBTVsports,SportsCenter,therealkwat,scoreatlanta,NFL,espn,GeorgiaFootball,ajc,247recruiting,KingJames,AtlantaFalcons,wsbtv,MaxPreps,BleacherReport,GAFollowers,TheOpening,RisingSeniors"
647,6.47,0.1545,0.0886,0.88,592.13,6.38,397,5.98,878.65,6.78,228,5.43,12094.67,9.40,3213,8.07,136,0.14,1.22,0.08,0.91,0.29,78,sports,Miscellaneous,Sports Gear,"sneaker,sneakerhead,ig,#sneakerhead,instagram,kick,nike,season,legendarycop,youtub,god,bio,shoe,ep,link","nikestore,footlocker,nicekicks,SneakerNews,kicksonfire,Nike,FinishLine,Jumpman23,SoleCollector,KicksDeals,J23app,ComplexSneakers,SOLELINKS,champssports,KingJames,adidasoriginals,Footaction,Drake,sneakersteal,Eastbay,kanyewest,SneakerShouts,SportsCenter,GAFollowers,BarackObama"
1731,7.46,0.0907,0.0377,0.42,817.40,6.71,438,6.08,2823.06,7.95,199,5.29,7912.96,8.98,1174,7.07,98,0.56,2.13,0.13,0.94,0.30,79,society,religion,god,"god,author,speaker,pastor,gospel,ministri,coach,jesus,life,love,christ,christian,church,purpos,minist","BishopJakes,BarackObama,JoyceMeyer,JoelOsteen,tylerperry,kirkfranklin,Oprah,IAmSteveHarvey,marvinsapp,RealFredHammond,kierrasheard,Donnieradio,ajc,therealmarymary,TyeTribbett,cecewinans,tashacobbs,KevinHart4real,tarajiphenson,jamalhbryant,MrJamesFortune,Keetwit,YolandaAdams,VaShawnMitchell,RevRunWisdom"
317,5.76,0.1466,0.1130,0.56,423.67,6.05,251,5.53,1182.52,7.08,134,4.90,6796.33,8.82,1469,7.29,112,0.45,1.14,0.04,0.93,0.27,80,entertainment,social media,arianah,"ig,da,tre,littl,5southshow,@coco,arianah,sweetheartlexus,just.hga,ashnikfit,teamk,rais,black,way,trap","KarlousM,DCYOUNGFLY,chicoBean,85SouthShow,WildNOut,theestallion,iamdesibanks,rihanna,iamcardib,Emanhudson,BarackObama,Drake,lilbaby4PF,gucci1017,chrisbrown,TheBSimone,JColeNC,MeekMill,KevinHart4real,GAFollowers,1future,Tip,WORLDSTAR,youngthug,DaBabyDaBaby"
392,5.97,0.1073,0.0616,0.48,596.89,6.39,313,5.75,443.11,6.09,116,4.75,1835.97,7.52,310.5,5.74,34,0.44,2.43,0.35,0.94,0.31,81,atlanta,Real Estate,NW Region - City of Marietta/Cobb County,"cobb,help,marietta,busi,atlanta,market,northwest,metro,solut,provid,driven,client,mail,us,area","ajc,CobbNewsNow,cobbcountygovt,cityofmarietta,mdjonline,wsbtv,CobbChamber,11AliveNews,CobbSchools,FOX5Atlanta,CityofAtlanta,AtlantaMagazine,ATL_Events,EastCobbPatch,CobbBuzz,eastcobber,visitmariettaga,SmyrnaPatch,SmyrnaNews,cl_atlanta,DiscoverAtlanta,Braves,cnnbrk,cbs46,AtlBizChron"
